insight,title
talkative,Talkativeness
sentiment,Positiveness
politeness,Politeness
coordination,Coordination
date_dist,Volume
time_dist,Patterns
network,Networks
sample_sentiment,Positiveness - An Illustration
responsiveness,Responsiveness
firstlast,Proactiveness
